experiments,subjects,phases,blocks,pairtypes,accuracys
Experiment 1 No Delay,3056,2,4,unique,1
Experiment 1 No Delay,3056,2,5,overlapping,1
Experiment 1 No Delay,3056,2,5,unique,1
Experiment 1 No Delay,3056,3,1,overlapping,1
Experiment 1 No Delay,3056,3,1,unique,1
Experiment 1 No Delay,3056,3,2,overlapping,1
Experiment 1 No Delay,3056,3,2,unique,1
Experiment 1 No Delay,3056,3,3,overlapping,1
Experiment 1 No Delay,3056,3,3,unique,1
Experiment 1 No Delay,3056,3,4,overlapping,1
Experiment 1 No Delay,3056,3,4,unique,1
Experiment 1 No Delay,3056,3,5,overlapping,1
Experiment 1 No Delay,3056,3,5,unique,0.75
Experiment 1 No Delay,3066,1,1,overlapping,0.5
Experiment 1 No Delay,3066,1,1,unique,0.5
Experiment 1 No Delay,3066,1,2,overlapping,0.75
Experiment 1 No Delay,3066,1,2,unique,1
Experiment 1 No Delay,3066,1,3,overlapping,0.75
Experiment 1 No Delay,3066,1,3,unique,1
Experiment 1 No Delay,3066,1,4,overlapping,1
Experiment 1 No Delay,3066,1,4,unique,1
Experiment 1 No Delay,3066,1,5,overlapping,0.75
Experiment 1 No Delay,3066,1,5,unique,1
Experiment 1 No Delay,3066,2,1,overlapping,0.5
Experiment 1 No Delay,3066,2,1,unique,0.75
Experiment 1 No Delay,3066,2,2,overlapping,1
Experiment 1 No Delay,3066,2,2,unique,0.75
Experiment 1 No Delay,3066,2,3,overlapping,1
Experiment 1 No Delay,3066,2,3,unique,1
Experiment 1 No Delay,3066,2,4,overlapping,1
Experiment 1 No Delay,3066,2,4,unique,1
Experiment 1 No Delay,3066,2,5,overlapping,1
Experiment 1 No Delay,3066,2,5,unique,1
Experiment 1 No Delay,3066,3,1,overlapping,0.5
Experiment 1 No Delay,3066,3,1,unique,1
Experiment 1 No Delay,3066,3,2,overlapping,0.75
Experiment 1 No Delay,3066,3,2,unique,0.75
Experiment 1 No Delay,3066,3,3,overlapping,1
Experiment 1 No Delay,3066,3,3,unique,1
Experiment 1 No Delay,3066,3,4,overlapping,1
Experiment 1 No Delay,3066,3,4,unique,1
Experiment 1 No Delay,3066,3,5,overlapping,1
Experiment 1 No Delay,3066,3,5,unique,1
Experiment 1 No Delay,3068,1,1,overlapping,1
Experiment 1 No Delay,3068,1,1,unique,0.75
Experiment 1 No Delay,3068,1,2,overlapping,1
Experiment 1 No Delay,3068,1,2,unique,1
Experiment 1 No Delay,3068,1,3,overlapping,1
Experiment 1 No Delay,3068,1,3,unique,1
Experiment 1 No Delay,3068,1,4,overlapping,1
Experiment 1 No Delay,3068,1,4,unique,1
Experiment 1 No Delay,3068,1,5,overlapping,0.5
Experiment 1 No Delay,3068,1,5,unique,1
Experiment 1 No Delay,3068,2,1,overlapping,0.25
Experiment 1 No Delay,3068,2,1,unique,0.5
Experiment 1 No Delay,3068,2,2,overlapping,1
Experiment 1 No Delay,3068,2,2,unique,1
Experiment 1 No Delay,3068,2,3,overlapping,1
Experiment 1 No Delay,3068,2,3,unique,1
Experiment 1 No Delay,3068,2,4,overlapping,1
Experiment 1 No Delay,3068,2,4,unique,1
Experiment 1 No Delay,3068,2,5,overlapping,1
Experiment 1 No Delay,3068,2,5,unique,1
Experiment 1 No Delay,3068,3,1,overlapping,0.25
Experiment 1 No Delay,3068,3,1,unique,0.5
Experiment 1 No Delay,3068,3,2,overlapping,0.75
Experiment 1 No Delay,3068,3,2,unique,1
Experiment 1 No Delay,3068,3,3,overlapping,1
Experiment 1 No Delay,3068,3,3,unique,1
Experiment 1 No Delay,3068,3,4,overlapping,1
Experiment 1 No Delay,3068,3,4,unique,1
Experiment 1 No Delay,3068,3,5,overlapping,1
Experiment 1 No Delay,3068,3,5,unique,1
Experiment 1 No Delay,3069,1,1,overlapping,1
Experiment 1 No Delay,3069,1,1,unique,0.5
Experiment 1 No Delay,3069,1,2,overlapping,0.75
Experiment 1 No Delay,3069,1,2,unique,0.25
Experiment 1 No Delay,3069,1,3,overlapping,0.75
Experiment 1 No Delay,3069,1,3,unique,0.5
Experiment 1 No Delay,3069,1,4,overlapping,1
Experiment 1 No Delay,3069,1,4,unique,1
Experiment 1 No Delay,3069,1,5,overlapping,1
Experiment 1 No Delay,3069,1,5,unique,1
Experiment 1 No Delay,3069,2,1,overlapping,0.75
Experiment 1 No Delay,3069,2,1,unique,1
Experiment 1 No Delay,3069,2,2,overlapping,0.5
Experiment 1 No Delay,3069,2,2,unique,1
Experiment 1 No Delay,3069,2,3,overlapping,0.75
Experiment 1 No Delay,3069,2,3,unique,1
Experiment 1 No Delay,3069,2,4,overlapping,1
Experiment 1 No Delay,3069,2,4,unique,1
Experiment 1 No Delay,3069,2,5,overlapping,0.75
Experiment 1 No Delay,3069,2,5,unique,1
Experiment 1 No Delay,3069,3,1,overlapping,0.75
Experiment 1 No Delay,3069,3,1,unique,1
Experiment 1 No Delay,3069,3,2,overlapping,1
Experiment 1 No Delay,3069,3,2,unique,0.5
Experiment 1 No Delay,3069,3,3,overlapping,1
Experiment 1 No Delay,3069,3,3,unique,0.75
Experiment 1 No Delay,3069,3,4,overlapping,0.75
Experiment 1 No Delay,3069,3,4,unique,0.75
Experiment 1 No Delay,3069,3,5,overlapping,1
Experiment 1 No Delay,3069,3,5,unique,1
Experiment 1 No Delay,3070,1,1,overlapping,0.5
Experiment 1 No Delay,3070,1,1,unique,0.5
Experiment 1 No Delay,3070,1,2,overlapping,1
Experiment 1 No Delay,3070,1,2,unique,1
Experiment 1 No Delay,3070,1,3,overlapping,0.5
Experiment 1 No Delay,3070,1,3,unique,1
Experiment 1 No Delay,3070,1,4,overlapping,1
Experiment 1 No Delay,3070,1,4,unique,0.75
Experiment 1 No Delay,3070,1,5,overlapping,1
Experiment 1 No Delay,3070,1,5,unique,1
Experiment 1 No Delay,3070,2,1,overlapping,0.5
Experiment 1 No Delay,3070,2,1,unique,0.5
Experiment 1 No Delay,3070,2,2,overlapping,1
Experiment 1 No Delay,3070,2,2,unique,1
Experiment 1 No Delay,3070,2,3,overlapping,1
Experiment 1 No Delay,3070,2,3,unique,1
Experiment 1 No Delay,3070,2,4,overlapping,1
Experiment 1 No Delay,3070,2,4,unique,1
Experiment 1 No Delay,3070,2,5,overlapping,1
Experiment 1 No Delay,3070,2,5,unique,1
Experiment 1 No Delay,3070,3,1,overlapping,0.25
Experiment 1 No Delay,3070,3,1,unique,1
Experiment 1 No Delay,3070,3,2,overlapping,1
Experiment 1 No Delay,3070,3,2,unique,1
Experiment 1 No Delay,3070,3,3,overlapping,1
Experiment 1 No Delay,3070,3,3,unique,1
Experiment 1 No Delay,3070,3,4,overlapping,1
Experiment 1 No Delay,3070,3,4,unique,1
Experiment 1 No Delay,3070,3,5,overlapping,1
Experiment 1 No Delay,3070,3,5,unique,1
Experiment 1 No Delay,3073,1,1,overlapping,0.5
Experiment 1 No Delay,3073,1,1,unique,0.5
Experiment 1 No Delay,3073,1,2,overlapping,1
Experiment 1 No Delay,3073,1,2,unique,1
Experiment 1 No Delay,3073,1,3,overlapping,1
Experiment 1 No Delay,3073,1,3,unique,1
Experiment 1 No Delay,3073,1,4,overlapping,1
Experiment 1 No Delay,3073,1,4,unique,1
Experiment 1 No Delay,3073,1,5,overlapping,1
Experiment 1 No Delay,3073,1,5,unique,1
Experiment 1 No Delay,3073,2,1,overlapping,0.5
Experiment 1 No Delay,3073,2,1,unique,0.5
Experiment 1 No Delay,3073,2,2,overlapping,0.25
Experiment 1 No Delay,3073,2,2,unique,1
Experiment 1 No Delay,3073,2,3,overlapping,0.75
Experiment 1 No Delay,3073,2,3,unique,1
Experiment 1 No Delay,3073,2,4,overlapping,0.75
Experiment 1 No Delay,3073,2,4,unique,1
Experiment 1 No Delay,3073,2,5,overlapping,0.75
Experiment 1 No Delay,3073,2,5,unique,1
Experiment 1 No Delay,3073,3,1,overlapping,0.5
Experiment 1 No Delay,3073,3,1,unique,0.75
Experiment 1 No Delay,3073,3,2,overlapping,1
Experiment 1 No Delay,3073,3,2,unique,1
Experiment 1 No Delay,3073,3,3,overlapping,1
Experiment 1 No Delay,3073,3,3,unique,1
Experiment 1 No Delay,3073,3,4,overlapping,1
Experiment 1 No Delay,3073,3,4,unique,1
Experiment 1 No Delay,3073,3,5,overlapping,1
Experiment 1 No Delay,3073,3,5,unique,1
Experiment 1 No Delay,3082,1,1,overlapping,0.5
Experiment 1 No Delay,3082,1,1,unique,0.75
Experiment 1 No Delay,3082,1,2,overlapping,1
Experiment 1 No Delay,3082,1,2,unique,1
Experiment 1 No Delay,3082,1,3,overlapping,1
Experiment 1 No Delay,3082,1,3,unique,1
Experiment 1 No Delay,3082,1,4,overlapping,1
Experiment 1 No Delay,3082,1,4,unique,1
Experiment 1 No Delay,3082,1,5,overlapping,1
Experiment 1 No Delay,3082,1,5,unique,1
Experiment 1 No Delay,3082,2,1,overlapping,0.5
Experiment 1 No Delay,3082,2,1,unique,1
Experiment 1 No Delay,3082,2,2,overlapping,1
Experiment 1 No Delay,3082,2,2,unique,1
Experiment 1 No Delay,3082,2,3,overlapping,0.75
Experiment 1 No Delay,3082,2,3,unique,1
Experiment 1 No Delay,3082,2,4,overlapping,1
Experiment 1 No Delay,3082,2,4,unique,1
Experiment 1 No Delay,3082,2,5,overlapping,1
Experiment 1 No Delay,3082,2,5,unique,1
Experiment 1 No Delay,3082,3,1,overlapping,1
Experiment 1 No Delay,3082,3,1,unique,1
Experiment 1 No Delay,3082,3,2,overlapping,0.75
Experiment 1 No Delay,3082,3,2,unique,1
Experiment 1 No Delay,3082,3,3,overlapping,1
Experiment 1 No Delay,3082,3,3,unique,1
Experiment 1 No Delay,3082,3,4,overlapping,1
Experiment 1 No Delay,3082,3,4,unique,1
Experiment 1 No Delay,3082,3,5,overlapping,0.75
Experiment 1 No Delay,3082,3,5,unique,1
Experiment 1 No Delay,3115,1,1,overlapping,0.75
Experiment 1 No Delay,3115,1,1,unique,0.25
Experiment 1 No Delay,3115,1,2,overlapping,1
Experiment 1 No Delay,3115,1,2,unique,1
Experiment 1 No Delay,3115,1,3,overlapping,1
Experiment 1 No Delay,3115,1,3,unique,1
Experiment 1 No Delay,3115,1,4,overlapping,1
Experiment 1 No Delay,3115,1,4,unique,0.75
Experiment 1 No Delay,3115,1,5,overlapping,0.75
Experiment 1 No Delay,3115,1,5,unique,1
Experiment 1 No Delay,3115,2,1,overlapping,0.25
Experiment 1 No Delay,3115,2,1,unique,0.5
Experiment 1 No Delay,3115,2,2,overlapping,1
Experiment 1 No Delay,3115,2,2,unique,0.75
Experiment 1 No Delay,3115,2,3,overlapping,1
