experiments,subjects,phases,blocks,pairtypes,accuracys
Experiment 1 No Delay,3137,3,4,overlapping,0.75
Experiment 1 No Delay,3137,3,4,unique,1
Experiment 1 No Delay,3137,3,5,overlapping,1
Experiment 1 No Delay,3137,3,5,unique,1
Experiment 1 No Delay,4809,1,1,overlapping,0.25
Experiment 1 No Delay,4809,1,1,unique,0.5
Experiment 1 No Delay,4809,1,2,overlapping,1
Experiment 1 No Delay,4809,1,2,unique,0.75
Experiment 1 No Delay,4809,1,3,overlapping,0.75
Experiment 1 No Delay,4809,1,3,unique,0.75
Experiment 1 No Delay,4809,1,4,overlapping,0.5
Experiment 1 No Delay,4809,1,4,unique,0.75
Experiment 1 No Delay,4809,1,5,overlapping,0.5
Experiment 1 No Delay,4809,1,5,unique,1
Experiment 1 No Delay,4809,2,1,overlapping,0.5
Experiment 1 No Delay,4809,2,1,unique,0.75
Experiment 1 No Delay,4809,2,2,overlapping,0.25
Experiment 1 No Delay,4809,2,2,unique,0.75
Experiment 1 No Delay,4809,2,3,overlapping,0.75
Experiment 1 No Delay,4809,2,3,unique,0.5
Experiment 1 No Delay,4809,2,4,overlapping,0.75
Experiment 1 No Delay,4809,2,4,unique,1
Experiment 1 No Delay,4809,2,5,overlapping,1
Experiment 1 No Delay,4809,2,5,unique,1
Experiment 1 No Delay,4809,3,1,overlapping,0.25
Experiment 1 No Delay,4809,3,1,unique,1
Experiment 1 No Delay,4809,3,2,overlapping,0.5
Experiment 1 No Delay,4809,3,2,unique,0.75
Experiment 1 No Delay,4809,3,3,overlapping,0.75
Experiment 1 No Delay,4809,3,3,unique,1
Experiment 1 No Delay,4809,3,4,overlapping,1
Experiment 1 No Delay,4809,3,4,unique,0.75
Experiment 1 No Delay,4809,3,5,overlapping,0.75
Experiment 1 No Delay,4809,3,5,unique,0.75
Experiment 1 No Delay,6000,1,1,overlapping,0.25
Experiment 1 No Delay,6000,1,1,unique,0.5
Experiment 1 No Delay,6000,1,2,overlapping,1
Experiment 1 No Delay,6000,1,2,unique,1
Experiment 1 No Delay,6000,1,3,overlapping,1
Experiment 1 No Delay,6000,1,3,unique,1
Experiment 1 No Delay,6000,1,4,overlapping,1
Experiment 1 No Delay,6000,1,4,unique,1
Experiment 1 No Delay,6000,1,5,overlapping,1
Experiment 1 No Delay,6000,1,5,unique,0.75
Experiment 1 No Delay,6000,2,1,overlapping,0.25
Experiment 1 No Delay,6000,2,1,unique,0.25
Experiment 1 No Delay,6000,2,2,overlapping,0.75
Experiment 1 No Delay,6000,2,2,unique,1
Experiment 1 No Delay,6000,2,3,overlapping,1
Experiment 1 No Delay,6000,2,3,unique,0.75
Experiment 1 No Delay,6000,2,4,overlapping,1
Experiment 1 No Delay,6000,2,4,unique,1
Experiment 1 No Delay,6000,2,5,overlapping,1
Experiment 1 No Delay,6000,2,5,unique,1
Experiment 1 No Delay,6000,3,1,overlapping,0.75
Experiment 1 No Delay,6000,3,1,unique,1
Experiment 1 No Delay,6000,3,2,overlapping,1
Experiment 1 No Delay,6000,3,2,unique,1
Experiment 1 No Delay,6000,3,3,overlapping,1
Experiment 1 No Delay,6000,3,3,unique,0.75
Experiment 1 No Delay,6000,3,4,overlapping,1
Experiment 1 No Delay,6000,3,4,unique,1
Experiment 1 No Delay,6000,3,5,overlapping,1
Experiment 1 No Delay,6000,3,5,unique,0.75
Experiment 1 No Delay,9002,1,1,overlapping,0.75
Experiment 1 No Delay,9002,1,1,unique,0.75
Experiment 1 No Delay,9002,1,2,overlapping,1
Experiment 1 No Delay,9002,1,2,unique,1
Experiment 1 No Delay,9002,1,3,overlapping,0.75
Experiment 1 No Delay,9002,1,3,unique,0.75
Experiment 1 No Delay,9002,1,4,overlapping,0.5
Experiment 1 No Delay,9002,1,4,unique,0.75
Experiment 1 No Delay,9002,1,5,overlapping,1
Experiment 1 No Delay,9002,1,5,unique,1
Experiment 1 No Delay,9002,2,1,overlapping,0.5
Experiment 1 No Delay,9002,2,1,unique,0.5
Experiment 1 No Delay,9002,2,2,overlapping,0.5
Experiment 1 No Delay,9002,2,2,unique,1
Experiment 1 No Delay,9002,2,3,overlapping,0.75
Experiment 1 No Delay,9002,2,3,unique,1
Experiment 1 No Delay,9002,2,4,overlapping,0.75
Experiment 1 No Delay,9002,2,4,unique,0.75
Experiment 1 No Delay,9002,2,5,overlapping,0.5
Experiment 1 No Delay,9002,2,5,unique,0.75
Experiment 1 No Delay,9002,3,1,overlapping,1
Experiment 1 No Delay,9002,3,1,unique,1
Experiment 1 No Delay,9002,3,2,overlapping,0.5
Experiment 1 No Delay,9002,3,2,unique,0.5
Experiment 1 No Delay,9002,3,3,overlapping,0.5
Experiment 1 No Delay,9002,3,3,unique,1
Experiment 1 No Delay,9002,3,4,overlapping,0.5
Experiment 1 No Delay,9002,3,4,unique,0.5
Experiment 1 No Delay,9002,3,5,overlapping,0.5
Experiment 1 No Delay,9002,3,5,unique,0.75
Experiment 1 No Delay,9003,1,1,overlapping,0.75
Experiment 1 No Delay,9003,1,1,unique,0.5
Experiment 1 No Delay,9003,1,2,overlapping,0.75
Experiment 1 No Delay,9003,1,2,unique,1
Experiment 1 No Delay,9003,1,3,overlapping,1
Experiment 1 No Delay,9003,1,3,unique,0.75
Experiment 1 No Delay,9003,1,4,overlapping,1
Experiment 1 No Delay,9003,1,4,unique,1
Experiment 1 No Delay,9003,1,5,overlapping,1
Experiment 1 No Delay,9003,1,5,unique,1
Experiment 1 No Delay,9003,2,1,overlapping,0.75
Experiment 1 No Delay,9003,2,1,unique,0.5
Experiment 1 No Delay,9003,2,2,overlapping,1
Experiment 1 No Delay,9003,2,2,unique,1
Experiment 1 No Delay,9003,2,3,overlapping,1
Experiment 1 No Delay,9003,2,3,unique,1
Experiment 1 No Delay,9003,2,4,overlapping,1
Experiment 1 No Delay,9003,2,4,unique,1
Experiment 1 No Delay,9003,2,5,overlapping,1
Experiment 1 No Delay,9003,2,5,unique,1
Experiment 1 No Delay,9003,3,1,overlapping,0.75
Experiment 1 No Delay,9003,3,1,unique,1
Experiment 1 No Delay,9003,3,2,overlapping,0.75
Experiment 1 No Delay,9003,3,2,unique,1
Experiment 1 No Delay,9003,3,3,overlapping,0.75
Experiment 1 No Delay,9003,3,3,unique,1
Experiment 1 No Delay,9003,3,4,overlapping,1
Experiment 1 No Delay,9003,3,4,unique,1
Experiment 1 No Delay,9003,3,5,overlapping,1
Experiment 1 No Delay,9003,3,5,unique,1
Experiment 1 No Delay,9004,1,1,overlapping,0.75
Experiment 1 No Delay,9004,1,1,unique,0.5
Experiment 1 No Delay,9004,1,2,overlapping,0.75
Experiment 1 No Delay,9004,1,2,unique,1
Experiment 1 No Delay,9004,1,3,overlapping,1
Experiment 1 No Delay,9004,1,3,unique,0.75
Experiment 1 No Delay,9004,1,4,overlapping,1
Experiment 1 No Delay,9004,1,4,unique,1
Experiment 1 No Delay,9004,1,5,overlapping,1
Experiment 1 No Delay,9004,1,5,unique,0.75
Experiment 1 No Delay,9004,2,1,overlapping,0.75
Experiment 1 No Delay,9004,2,1,unique,1
Experiment 1 No Delay,9004,2,2,overlapping,0.75
Experiment 1 No Delay,9004,2,2,unique,1
Experiment 1 No Delay,9004,2,3,overlapping,0.75
Experiment 1 No Delay,9004,2,3,unique,1
Experiment 1 No Delay,9004,2,4,overlapping,0.5
Experiment 1 No Delay,9004,2,4,unique,1
Experiment 1 No Delay,9004,2,5,overlapping,1
Experiment 1 No Delay,9004,2,5,unique,1
Experiment 1 No Delay,9004,3,1,overlapping,0.5
Experiment 1 No Delay,9004,3,1,unique,1
Experiment 1 No Delay,9004,3,2,overlapping,1
Experiment 1 No Delay,9004,3,2,unique,1
Experiment 1 No Delay,9004,3,3,overlapping,0.75
Experiment 1 No Delay,9004,3,3,unique,1
Experiment 1 No Delay,9004,3,4,overlapping,1
Experiment 1 No Delay,9004,3,4,unique,1
Experiment 1 No Delay,9004,3,5,overlapping,1
Experiment 1 No Delay,9004,3,5,unique,0.75
Experiment 1 No Delay,9005,1,1,overlapping,0.5
Experiment 1 No Delay,9005,1,1,unique,0.25
Experiment 1 No Delay,9005,1,2,overlapping,1
Experiment 1 No Delay,9005,1,2,unique,0.75
Experiment 1 No Delay,9005,1,3,overlapping,1
Experiment 1 No Delay,9005,1,3,unique,0.5
Experiment 1 No Delay,9005,1,4,overlapping,1
Experiment 1 No Delay,9005,1,4,unique,1
Experiment 1 No Delay,9005,1,5,overlapping,1
Experiment 1 No Delay,9005,1,5,unique,1
Experiment 1 No Delay,9005,2,1,overlapping,0.25
Experiment 1 No Delay,9005,2,1,unique,0.75
Experiment 1 No Delay,9005,2,2,overlapping,0.25
Experiment 1 No Delay,9005,2,2,unique,0.75
Experiment 1 No Delay,9005,2,3,overlapping,0.75
Experiment 1 No Delay,9005,2,3,unique,1
Experiment 1 No Delay,9005,2,4,overlapping,1
Experiment 1 No Delay,9005,2,4,unique,1
Experiment 1 No Delay,9005,2,5,overlapping,1
Experiment 1 No Delay,9005,2,5,unique,1
Experiment 1 No Delay,9005,3,1,overlapping,0.25
Experiment 1 No Delay,9005,3,1,unique,0.25
Experiment 1 No Delay,9005,3,2,overlapping,1
Experiment 1 No Delay,9005,3,2,unique,1
Experiment 1 No Delay,9005,3,3,overlapping,0.75
Experiment 1 No Delay,9005,3,3,unique,0.75
Experiment 1 No Delay,9005,3,4,overlapping,1
Experiment 1 No Delay,9005,3,4,unique,0.75
Experiment 1 No Delay,9005,3,5,overlapping,1
Experiment 1 No Delay,9005,3,5,unique,0.75
Experiment 1 No Delay,9007,1,1,overlapping,0.5
Experiment 1 No Delay,9007,1,1,unique,0.75
Experiment 1 No Delay,9007,1,2,overlapping,1
Experiment 1 No Delay,9007,1,2,unique,0.75
Experiment 1 No Delay,9007,1,3,overlapping,1
Experiment 1 No Delay,9007,1,3,unique,0.75
Experiment 1 No Delay,9007,1,4,overlapping,1
Experiment 1 No Delay,9007,1,4,unique,1
Experiment 1 No Delay,9007,1,5,overlapping,1
Experiment 1 No Delay,9007,1,5,unique,0.5
Experiment 1 No Delay,9007,2,1,overlapping,0.5
Experiment 1 No Delay,9007,2,1,unique,0.75
Experiment 1 No Delay,9007,2,2,overlapping,0.75
Experiment 1 No Delay,9007,2,2,unique,1
Experiment 1 No Delay,9007,2,3,overlapping,1
Experiment 1 No Delay,9007,2,3,unique,1
Experiment 1 No Delay,9007,2,4,overlapping,1
Experiment 1 No Delay,9007,2,4,unique,0.5
Experiment 1 No Delay,9007,2,5,overlapping,0.75
Experiment 1 No Delay,9007,2,5,unique,1
Experiment 1 No Delay,9007,3,1,overlapping,0.75
Experiment 1 No Delay,9007,3,1,unique,0.75
Experiment 1 No Delay,9007,3,2,overlapping,1
Experiment 1 No Delay,9007,3,2,unique,1
Experiment 1 No Delay,9007,3,3,overlapping,1
Experiment 1 No Delay,9007,3,3,unique,1
Experiment 1 No Delay,9007,3,4,overlapping,1
Experiment 1 No Delay,9007,3,4,unique,1
Experiment 1 No Delay,9007,3,5,overlapping,1
Experiment 1 No Delay,9007,3,5,unique,1
